recipe_tag	coefficient
bias	0.4663809055677908
alfredo	0.01567766952659658
almond	0.0187094692140554
american	-0.03950162249878428
appetizer	0.11281491524635534
appetizers	-0.009258335296948384
apple	-0.010045080942239056
asiancuisine	-0.04246088504877213
asparagus	0.03461478568733332
avocado	0.02445865735692758
bacon	0.301967440497073
baked	0.04504827147417586
bakeddishes	-0.22515753619701648
bakery	-0.030526176711013587
baking	0.0031557507091522635
beans	0.01206867496353071
beef	-0.07948871740088224
bellpeppers	-0.008594685412471098
berries	0.06920929906554105
blackbeans	-0.008594685412471098
blackvinegar	-0.019648558175808427
blueberry	0.09344552385047644
boiledeggs	0.020447839201284488
bokchoy	0.020447839201284488
braided	0.013418782754135022
bread	0.022351116737797036
breaded	0.04961395782282032
breakfast	-0.07139045428815377
breakfastpastry	0.04684938685997481
brioche	0.06513303156633131
broiling	0.012343415237279476
brownies	0.156931942886373
brownsugar	0.04232872518641653
brunch	-0.15249595108175906
burger	0.054380792110506816
burritos	0.031024035278608007
buttery	0.027435046922650207
cake	-0.10874769067622517
carrots	0.020447839201284488
casserole	-0.051124352317156264
celebration	0.0009814289697208402
cheese	-0.05171614312165765
cheesy	0.08359599256752175
cherry	-0.03752524552394933
chicken	0.07130983603910263
chickpeas	0.054380792110506816
chilioil	0.035000220670556
chilipowder	-0.008594685412471098
chinese	-0.029511976006981654
chinesecookingwine	0.054648778846364425
chinesecuisine	-0.06831710091886456
chocolate	0.0020075060348749216
chocolatechip	0.12794254825771115
chocolatecroissant	0.04684938685997481
christmas	-0.01450405432736468
cilantro	0.08012250283520818
cinnamon	-0.04814731405671019
citrus	0.03441463950298435
classic	0.010594247395795106
cloves	-0.02405267317652665
cobbler	-0.016042129219443275
cocoapowder	0.026514506445114636
coffee	-0.07947875291710474
cold	-0.029511976006981654
coldnoodles	-0.004717994796586307
comfortfood	0.16212552835080968
condiment	-0.015645858315673535
cookies	0.11483023321105208
corn	0.0009814289697208402
cranberry	0.03337637729367603
creamcheese	-0.038506348682862075
creamy	-0.0014628746633903208
crisp	0.19913591148194554
crispy	0.08232007343981725
croissant	-0.07947875291710474
croissants	-0.10176435824175419
crumble	-0.039318290569156686
crust	-0.02405267317652665
cucumber	-0.004717994796586307
cumin	-0.008594685412471098
cupcakes	0.05188366136787593
custard	0.041597026413959244
custardy	-0.0009507399489155399
customizable	0.05679110585743321
danish	-0.038506348682862075
dashibroth	0.013634761497992729
dates	0.05674763445548871
decadent	0.10412970245151927
dessert	0.14103854478252711
dinner	0.05184545765757555
dip	-0.024740180519575113
donuts	0.012831746297200113
easterneuropean	0.013418782754135022
easy	-0.009702448078794793
easydinner	0.024644682290916552
egg	0.08868956283623686
eggs	-0.04394810607435853
eggwhites	0.05881915452967948
fajitaseasoning	-0.0268616581750184
fall	0.01955929866891177
familyfriendly	-0.026479670026239712
fastfood	0.04961395782282032
fetacheese	0.120266150189894
filling	0.1095873034639243
fingerfood	0.0460136320581017
flaky	-0.01343111597758978
french	-0.0516441415537916
frenchcuisine	-0.16081453781912303
frenchpastry	-0.06315554276814352
fresh	0.08229624511769819
fried	0.1291333735326289
friedfood	0.09407639189726258
friedrice	0.05279619760649109
fries	-0.000780983334382973
frosting	-0.05686402930834924
fruit	0.028890268358277738
fudgy	0.09071091969738425
gamedayfood	0.024906154149555923
ganache	-0.1352621971213398
garlic	0.01544114006855088
ginger	0.054648778846364425
glutenfree	-0.013167302890599933
goldenbrown	0.0236414512380658
greenbeans	0.016049415061914565
greenonion	-0.039207638777813546
greenonions	0.051471874479892495
grill	0.054380792110506816
